title	sortkey	norminform	mime	desc	url	anchorid	namespace	ontology	type
Terms Part 1 (SKOS)	a	normative	text/turtle	Defines the terms from CEN-EN 17632-1:2022 as <code>skos:Concept</code>s.	/data/sml-skos.ttl	skos	sml-term:	https://w3id.org/sml/skos/term	skos:ConceptScheme
Classes and Properties Part 1 (RDFS)	b	normative	text/turtle	Defines RDFS classes and properties for each SKOS term.	/data/sml-rdfs.ttl	rdfs	sml:	https://w3id.org/sml/rdfs/def	owl:Ontology
Classes and Properties Part 1 (OWL)	c	normative	text/turtle	Defines OWL class and property types for the definitions in the RDFS file.	/data/sml-owl.ttl	owl	sml:	https://w3id.org/sml/owl/def	owl:Ontology
Shapes Part 1 (SHACL)	d	normative	text/turtle	Defines SHACL shapes for the classes and properties in the RDFS file.	/data/sml-shacl.ttl	shacl	sml:	https://w3id.org/sml/shacl/def	owl:Ontology
Terms Part 2 (SKOS)	a	normative	text/turtle	Defines the terms from EN-EN 17632-2:2023 as <code>skos:Concept</code>s.	/data/sml2-skos.ttl	skos	sml-term:	https://w3id.org/sml/2/skos/term	skos:ConceptScheme
Classes and Properties Part 2 (RDFS)	b	normative	text/turtle	Defines RDFS classes and properties for each SKOS term.	/data/sml2-rdfs.ttl	rdfs	sml:	https://w3id.org/sml/2/rdfs/def	owl:Ontology
Classes and Properties Part 2 (OWL)	c	normative	text/turtle	Defines OWL class and property types for the definitions in the RDFS file.	/data/sml2-owl.ttl	owl	sml:	https://w3id.org/sml/2/owl/def	owl:Ontology
Shapes Part 2 (SHACL)	d	normative	text/turtle	Defines SHACL shapes for the classes and properties in the RDFS file.	/data/sml2-shacl.ttl	shacl	sml:	https://w3id.org/sml/2/shacl/def	owl:Ontology
All as TriG	e	informative	application/trig	This convenience file separates the constituent ontologies into graphs.	/data/concat/sml.trig	trig	sml:</code><br> <code>sml-term:	</code>with appropriate accept header at: <code>https://w3id.org/sml	owl:Ontology</code><br><code>skos:ConceptScheme
All as Turtle	f	informative	text/turtle	This convenience file combines the constituent ontologies into a single graph.	/data/concat/sml.ttl	turtle	sml:</code><br> <code>sml-term:	</code>with appropriate accept header at: <code>https://w3id.org/sml	owl:Ontology</code><br><code>skos:ConceptScheme
All as JSON-LD	g	informative	application/ld+json	This convenience file in JSON-LD concatenates the constituent ontologies into a single file.	/data/concat/sml.json	jsonld	nen2660:</code><br> <code>nen2660-term:	</code>with appropriate accept header at: <code>https://w3id.org/nen2660	owl:Ontology</code><br><code>skos:ConceptScheme
All as RDF/XML	h	informative	application/rdf+xml	This convenience file in RDF/XML concatenates the constituent ontologies into a single file.	/data/concat/sml.rdf	rdfxml	nen2660:</code><br> <code>nen2660-term:	</code>with appropriate accept header at: <code>https://w3id.org/nen2660	owl:Ontology</code><br><code>skos:ConceptScheme
example-enum	i	example	text/turtle	This example file contains a model of an sml enumeration.	/data/examples/example-enum.ttl	ex1	sml:</code><br> <code>sml-term:		
sml-example-data	j	example	text/turtle	This example file contains data according to sml.	/data/examples/sml-example-data.ttl	ex2	sml:</code><br> <code>sml-term:		
sml-example-owl	k	example	text/turtle	This example file contains data according to sml-owl.	/data/examples/sml-example-owl.ttl	ex3	sml:</code><br> <code>sml-term:		
sml-example-rdfs	l	example	text/turtle	This example file contains data according to sml-rdfs.	/data/examples/sml-example-rdfs.ttl	ex4	sml:</code><br> <code>sml-term:		
sml-example-shacl	m	example	text/turtle	This example file contains data according to sml-shacl.	/data/examples/sml-example-shacl.ttl	ex5	sml:</code><br> <code>sml-term:		
sml-example-skos	n	example	text/turtle	This example file contains data according to sml-owskosl.	/data/examples/sml-example-skos.ttl	ex6	sml:</code><br> <code>sml-term:		
sml2-example-owl.ttl	o	example	text/turtle	This example file contains data according to sml2-owl.	/data/examples/sml2-example-owl.ttl	ex7	sml:</code><br> <code>sml-term:		
	
